3.140648058174289048e-02,4.486014133101637880e-01,3.983262388783155861e-01
2.115241053055402221e-01,7.331675437009796958e-01,4.857615979333680944e-01
8.860997318171006665e-01,2.171163937547599954e-01,2.426365120958784427e-01
5.365982280053549491e-02,9.560073081627785685e-01,8.668274394190782495e-01
9.492315419819723488e-01,2.919400363664210740e-01,6.303160968740894043e-01
4.373736665050698136e-03,8.790870434008216661e-01,5.569627655848035097e-01
7.356619346786960056e-01,4.413641520817831454e-01,4.198993686880986842e-01
4.357268121268753625e-01,5.958824909425800564e-01,2.860326127860868817e-01
4.205925751516026434e-02,6.147102430951978391e-01,4.153461178587491420e-01
1.975130747198799996e-01,4.374581627121048033e-01,2.404727799301480395e-01
9.990508566103580845e-01,2.535870783362376146e-01,7.479899550619117932e-01
9.631578394172038982e-01,8.731435259728439480e-01,9.405220216125025345e-01
6.227697770559315060e-03,1.295787244326929155e-01,4.727460077236089742e-01
3.777236709709363982e-02,3.001725456348273147e-01,3.810683316433460810e-01
1.292418202911977954e-01,8.955651812768613551e-01,7.521107449926476285e-01
6.322777802633616773e-01,1.168633417344845382e-01,2.378439280171512626e-01
1.291421581493265025e-01,9.563615004593645219e-01,6.162981854300723095e-01
9.250161353540679032e-01,4.993919561831634546e-01,5.367780345917682050e-01
4.339227065014202855e-01,1.736278865692753026e-02,1.661131766223851725e-01
3.742858539830231646e-01,7.438345390458269701e-01,4.292655339550921489e-01
5.954732296322121643e-01,1.800685556326603320e-01,4.170409404413999432e-01
2.592446010352841279e-01,8.848164773107436432e-01,5.084767611023992551e-01
2.173280641129436974e-01,6.147840555069026269e-01,2.537854246521208945e-01
6.743644284676526546e-01,8.501462436963145297e-01,7.285641914592814183e-01
8.024876975884452923e-01,5.420155431431853410e-01,3.088594709343727707e-01
9.864642594884173166e-01,4.955348317865705399e-01,6.833934756259880672e-01
2.887230246380293464e-01,3.658329628699333869e-01,2.209170273510445703e-01
6.932129366265543657e-01,6.030755116175319230e-01,2.018883585770767652e-01
7.846716154877353411e-01,3.488029609771031714e-01,3.266330726963501685e-01
2.477373999282312944e-01,4.392970511530290834e-01,2.084785280249688011e-01
3.205269480981780550e-01,3.695591130794616541e-01,6.103190431370619784e-02
6.717625764567390911e-01,7.081594923990146562e-01,5.696263126100618024e-01
4.932773202124685064e-02,8.947420569185096095e-01,6.858926882088060006e-01
1.072251096403405990e-01,8.001461620597223323e-01,6.053226172515960846e-01
3.801220533034199711e-01,4.892983306331948334e-01,2.523226099560346158e-01
3.929278497591880415e-01,1.196585856595773212e-01,3.383000388535162273e-02
8.064252798137554468e-01,9.502168297587368917e-01,8.940789978525315318e-01
3.587454695420988493e-03,9.610604609814156207e-01,8.554777594787781325e-01
3.076501596220498902e-01,9.782130624751019798e-01,6.578886774246106572e-01
2.490780886087562429e-02,9.455184064772167440e-01,6.137880792619045955e-01
2.750477183542221482e-01,4.091202866251537618e-01,2.134705029291799061e-01
6.076697518484134308e-01,5.924808835564935316e-01,4.718425185241457709e-01
8.113862799159101691e-01,7.654685497380143699e-01,6.750621068360215249e-01
6.533695851682082001e-01,9.907553973132094960e-01,7.643042663137480375e-01
8.754457608667746138e-01,3.948166721348450592e-01,2.883821668019278528e-01
7.466514322866363296e-01,2.257593979068153178e-01,3.522320351584851683e-01
6.733438315724329382e-01,3.902509303110518468e-01,3.563271358109953435e-01
1.029783539706966566e-01,5.611636351014592794e-02,2.735247290732749081e-01
4.796317177114511887e-01,1.685476267403762662e-01,1.724151100437599504e-01
5.890272020654319096e-02,7.819431853284020129e-02,4.144298113952973317e-01
